line_number,line_text,speaker,norm_speaker,eng_speaker
165,ἔστειλʼ ἱκέσθαι τοῦτο μὲν τὰ Λαΐου,Κρέων,Κρεων,Krewn
166,"σέβοντας εἰδὼς εὖ θρόνων ἀεὶ κράτη,",Κρέων,Κρεων,Krewn
167,"τοῦτʼ αὖθις, ἡνίκʼ Οἰδίπους ὤρθου πόλιν,",Κρέων,Κρεων,Krewn
168,"κἀπεὶ διώλετʼ, ἀμφὶ τοὺς κείνων ἔτι",Κρέων,Κρεων,Krewn
169,παῖδας μένοντας ἐμπέδοις φρονήμασιν.,Κρέων,Κρεων,Krewn
170,ὅτʼ οὖν ἐκεῖνοι πρὸς διπλῆς μοίρας μίαν,Κρέων,Κρεων,Krewn
171,καθʼ ἡμέραν ὤλοντο παίσαντές τε καὶ,Κρέων,Κρεων,Krewn
172,"πληγέντες αὐτόχειρι σὺν μιάσματι,",Κρέων,Κρεων,Krewn
173,ἐγὼ κράτη δὴ πάντα καὶ θρόνους ἔχω,Κρέων,Κρεων,Krewn
174,γένους κατʼ ἀγχιστεῖα τῶν ὀλωλότων.,Κρέων,Κρεων,Krewn
175,ἀμήχανον δὲ παντὸς ἀνδρὸς ἐκμαθεῖν,Κρέων,Κρεων,Krewn
176,"ψυχήν τε καὶ φρόνημα καὶ γνώμην, πρὶν ἂν",Κρέων,Κρεων,Krewn
177,ἀρχαῖς τε καὶ νόμοισιν ἐντριβὴς φανῇ.,Κρέων,Κρεων,Krewn
178,ἐμοὶ γὰρ ὅστις πᾶσαν εὐθύνων πόλιν,Κρέων,Κρεων,Krewn
179,"μὴ τῶν ἀρίστων ἅπτεται βουλευμάτων,",Κρέων,Κρεων,Krewn
180,"ἀλλʼ ἐκ φόβου του γλῶσσαν ἐγκλῄσας ἔχει,",Κρέων,Κρεων,Krewn
181,κάκιστος εἶναι νῦν τε καὶ πάλαι δοκεῖ·,Κρέων,Κρεων,Krewn
182,καὶ μεῖζον ὅστις ἀντὶ τῆς αὑτοῦ πάτρας,Κρέων,Κρεων,Krewn
183,"φίλον νομίζει, τοῦτον οὐδαμοῦ λέγω.",Κρέων,Κρεων,Krewn
184,"ἐγὼ γάρ, ἴστω Ζεὺς ὁ πάνθʼ ὁρῶν ἀεί,",Κρέων,Κρεων,Krewn
185,οὔτʼ ἂν σιωπήσαιμι τὴν ἄτην ὁρῶν,Κρέων,Κρεων,Krewn
186,"στείχουσαν ἀστοῖς ἀντὶ τῆς σωτηρίας,",Κρέων,Κρεων,Krewn
187,οὔτʼ ἂν φίλον ποτʼ ἄνδρα δυσμενῆ χθονὸς,Κρέων,Κρεων,Krewn
188,"θείμην ἐμαυτῷ, τοῦτο γιγνώσκων ὅτι",Κρέων,Κρεων,Krewn
189,ἥδʼ ἐστὶν ἡ σῴζουσα καὶ ταύτης ἔπι,Κρέων,Κρεων,Krewn
190,πλέοντες ὀρθῆς τοὺς φίλους ποιούμεθα.,Κρέων,Κρεων,Krewn
191,"τοιοῖσδʼ ἐγὼ νόμοισι τήνδʼ αὔξω πόλιν,",Κρέων,Κρεων,Krewn
192,καὶ νῦν ἀδελφὰ τῶνδε κηρύξας ἔχω,Κρέων,Κρεων,Krewn
193,ἀστοῖσι παίδων τῶν ἀπʼ Οἰδίπου πέρι·,Κρέων,Κρεων,Krewn
194,"Ἐτεοκλέα μέν, ὃς πόλεως ὑπερμαχῶν",Κρέων,Κρεων,Krewn
195,"ὄλωλε τῆσδε, πάντʼ ἀριστεύσας δόρει,",Κρέων,Κρεων,Krewn
196,τάφῳ τε κρύψαι καὶ τὰ πάντʼ ἀφαγνίσαι,Κρέων,Κρεων,Krewn
197,ἃ τοῖς ἀρίστοις ἔρχεται κάτω νεκροῖς.,Κρέων,Κρεων,Krewn
198,"τὸν δʼ αὖ ξύναιμον τοῦδε, Πολυνείκη λέγω,",Κρέων,Κρεων,Krewn
199,ὃς γῆν πατρῴαν καὶ θεοὺς τοὺς ἐγγενεῖς,Κρέων,Κρεων,Krewn
200,φυγὰς κατελθὼν ἠθέλησε μὲν πυρὶ,Κρέων,Κρεων,Krewn
201,"πρῆσαι κατʼ ἄκρας, ἠθέλησε δʼ αἵματος",Κρέων,Κρεων,Krewn
202,"κοινοῦ πάσασθαι, τοὺς δὲ δουλώσας ἄγειν,",Κρέων,Κρεων,Krewn
203,τοῦτον πόλει τῇδʼ ἐκκεκήρυκται τάφῳ,Κρέων,Κρεων,Krewn
204,"μήτε κτερίζειν μήτε κωκῦσαί τινα,",Κρέων,Κρεων,Krewn
205,ἐᾶν δʼ ἄθαπτον καὶ πρὸς οἰωνῶν δέμας,Κρέων,Κρεων,Krewn
206,καὶ πρὸς κυνῶν ἐδεστὸν αἰκισθέν τʼ ἰδεῖν.,Κρέων,Κρεων,Krewn
207,"τοιόνδʼ ἐμὸν φρόνημα, κοὔποτʼ ἔκ γʼ ἐμοῦ",Κρέων,Κρεων,Krewn
208,τιμὴν προέξουσʼ οἱ κακοὶ τῶν ἐνδίκων·,Κρέων,Κρεων,Krewn
209,"ἀλλʼ ὅστις εὔνους τῇδε τῇ πόλει, θανὼν",Κρέων,Κρεων,Krewn
