lemma_id,headword
130983,oi)mw/zw
33074,ta/xa
46267,di/kh
104957,lusso/w
156547,ptwmati/s
139164,malqa/zw
70059,mai/nh
244549,*)/aceinos
97253,troxo/s
104571,a)rxo/s
46744,boa/w
128504,a)nia/zw
210889,proti/qhmi
34883,skia/s
118510,ma/ntis
119749,e)/xqos
54495,le/ws
53702,no/sos
43346,o(/te
284754,e(pta/pulos
82365,nhleh/s
246676,ei)sa/llomai
42227,r(e/w
118552,a)raio/s
127321,a)rai=os
60651,doko/s
64160,do/kos
138165,o)fe/llw
115669,tu/mbos
205095,me/laqron
41734,yuxh/
156259,o)feile/w
108523,xlwro/s
104589,frone/w
271558,a)pallacei/w
109215,a)/llou
166239,a(marte/w
85173,ka/lws
193207,dusse/beia
160935,ai)gla/zw
257341,u(permaxe/w
106587,fqito/s
115505,noma/zw
113378,ka/toida
134281,u(ptia/w
191503,de/rkomai
60927,oi)/mh
72486,bhlo/s
75860,piqo/w
104790,leuko/s
55870,oi)=da
195661,sugkla/zw
159203,a)/rtios
54312,skopo/s
60246,sko/tos
136642,o(/maimos
149111,e)fumne/w
180996,numfiko/s
192043,kalupto/s
105659,palto/s
185343,peripeth/s
81509,pa/los
206929,a)graule/w
83007,pa=los
141742,*ou)=tis
193396,u(ptia/zw
52667,th/kw
153277,a)/nemos
131487,ou)damo/s
45273,kra/s
207419,e)pista/th
115709,*pu/ris
97806,skoto/w
233639,e)pista/ths
131914,a)/peimi
210181,kremasto/s
193399,e)papeile/w
193202,*eu)se/beia
153114,a)lu/skw
158835,a)/tufos
246227,e)fa/llomai
166196,e)leli/zw
234108,a)/graulos
74789,o(/ste
41788,tami/a
81118,tami/as
90302,ta/mias
96580,a)na/zw
87651,qa/ptw
77049,a)sto/s
13910,w(s
217906,au)da/zomai
107921,r(a/ssw
164991,oi)mw/ssw
116783,numfeu/w
283479,a)mfi/logos
85793,qa/yos
193405,a(/rmosis
109034,petrai/a
59579,nhlh/s
51353,fa/os
136546,sugkla/w
141099,fro/nhma
80331,o)rqo/w
64162,e)ph/n
74454,nu/mfh
106363,e)sqlo/s
138912,u(pei/kw
40476,dmwh/
173337,ne/rteros
164857,i)soqeo/w
80497,o)pwph/
255052,pannuxi/zw
135121,pimelh/s
244618,u(peralge/w
114674,*pa/ros
161951,e)legxh/s
319859,e)pani/sthmi
76831,a)nia/w
343116,e)kprotima/w
397861,au)toge/nnhtos
279223,sugkatai/qw
147636,mitw/dhs
249089,tantalo/omai
361357,a)rxaio/gonos
170716,du/sponos
283407,katarne/omai
259507,summeti/sxw
234591,marmaro/eis
305180,au)to/gnwtos
339373,e)pinu/mfeios
340122,u(sterofqo/ros
89407,a)rrw/c
404137,diktuo/klwstos
322048,peribru/xios
309045,e)fagisteu/w
258102,koirani/dhs
328747,kunospa/raktos
330528,dhmo/leustos
262309,a(millhth/r
242293,e)pente/llw
237296,a)/graptos
241271,tripo/listos
364574,u(perexqai/rw
204068,qeogennh/s
145853,di/lofos
249030,o)rqo/kranos
200846,du/sombros
250124,a)ntixai/rw
367965,barubreme/ths
270854,o)cukw/kutos
341879,kaka/ggeltos
183934,lussai/nw
296670,dusxei/rwma
235301,pantopo/ros
236160,liqospadh/s
211459,a)ntiplh/c
260071,tri/spondos
218418,a)mfiki/wn
227555,a)rw/simos
112325,pansagi/a
189120,o)rqo/pous
370257,a)porroibde/w
228177,e)pamaceu/w
182814,su/ggnoia
143303,katauda/w
220213,u(yi/polis
80427,ta=lis
284436,tumbo/xwstos
233012,mhxano/eis
304683,e)pi/fantos
299732,polua/rmatos
201890,dusa/nemos
314646,paragka/lisma
76269,de/mas
156951,a)/timos
147892,eu)se/beia
81253,pa/ssw
224482,thliko/sde
151863,a)lu/ssw
335672,au)to/xeiros
106529,sqeno/w
63739,fono/w
157783,khru/ssw
153532,qerma/zw
87206,*ferai/
339073,e)cepi/stamai
100854,e)/rgma
104117,*me/ssh
215986,du/spotmos
211829,peri/polos
26765,ei)s
196645,h(ssa/omai
157375,r(ei=qron
175346,ei)sora/w
75431,mwro/s
92731,eu)na/w
177919,h(lio/omai
47846,di/xa
81903,me/los
73530,qe/rma
77290,qe/rmh
46329,nao/s
54905,do/ru
144537,e)ggenh/s
146239,a)lgu/nw
122243,nu/xios
155733,*kua/neai
276881,e)paitia/omai
148752,prosora/w
71404,ste/fos
150500,a)/cenos
93383,plekth/
116843,nosa/zw
70927,dixa/s
115861,o)/reios
145713,muqe/omai
82862,dikei=n
110635,a)=sson
251689,a)/mbrotos
80974,prh/qw
221084,numfi/dios
102295,a)gnw/s
204935,su/gklhtos
136808,sumforeu/s
120069,eu)mene/w
61193,tele/w
74816,dhlo/w
55603,dikai/a
142110,kukla/zw
100795,h(lio/w
206395,e)fi/sthmi
70629,tima/w
73907,pi/kra
96833,dendrw/n
165389,pro/soida
73794,nose/w
48575,fqi/w
71341,ou)/toi
238052,kataktei/nw
65297,go/nos
31752,u(fh/
108832,u(fa/zw
142482,e)/romai
41100,e)/ra
156600,*)/akrwn
76571,u(=lis
111449,*pa/ris
89956,oi)=dma
300999,e)kkhru/ssw
267701,e)pikta/omai
222534,u(menaio/w
89236,pimelh/
237519,diaskeda/zw
85933,e)nqa/de
105111,ne/omai
101796,*poi/as
82561,qro/non
125048,pa/nth|
12920,e)n
105406,oi)kei/w
193386,ble/faron
154124,pikra/zw
20913,dio/
28848,fw/s
93303,e)llo/s
218473,u(pekfeu/gw
190079,petrai=os
99226,skhpto/s
92963,ai)/glh
168381,pro/soyis
102852,skopa/w
104428,skope/w
110644,u(fi/hmi
100498,spei=ra
69724,e)/nqa
83776,a)pa/th
117488,dixa/zw
72707,a)nu/w
78518,qei/nw
79151,h(=los
148932,*kra/ths
51627,ptu/w
107378,foi/nios
141526,u(ptio/w
108338,e)/mpas
106130,doreu/s
118011,*(uleu/s
64601,u(fa/w
90008,po/lion
161055,a)/qumos
52666,e)/xw
40408,dixh/
125579,toio/sde
105234,goneu/s
136668,muqo/omai
22920,pou/
155069,purfo/ros
142753,plekto/s
182234,pu/rforos
188918,pa/roikos
73257,dixa/w
132756,tu/mbeuma
302500,dusqrh/nhtos
340172,a)gxi/ptolis
181015,dikrath/s
210180,qnhtogenh/s
290197,fronou/ntws
383977,o(mo/splagxnos
412503,sugkateu/xomai
282811,eu)a/rmatos
223360,qanato/eis
174880,kalxai/nw
160065,te/rmios
307880,au)toktone/w
370342,a)mfi/qhktos
231462,e)coimw/zw
328528,eu)kro/thtos
155370,r(oi=bdos
251462,dusko/mistos
158382,peukh/eis
126988,koi/mhma
171361,a)porqo/w
77219,qusta/s
175797,lhsmosu/nh
160477,h(sshte/os
111285,e)gerti/
141515,u(pi/llw
185118,e)/legxos
196831,ke/leuqos
39434,gunh/
191785,petrw/dhs
211695,kasignh/th
287224,prokhru/ssw
182664,e)ntri/bw
164360,kath/koos
175232,kath/kous
146547,e)paite/w
143536,a)qumo/w
143924,numfi/os
109551,texno/w
45427,bla/bh
77535,o)rqo/s
85005,ba=ros
148381,kh/rugma
129300,dendro/w
257794,katoru/ssw
104181,patri/s
199336,e)/rgnumi
87680,ko/rus
193175,e(/rmaion
183533,e(rmai=os
68359,fuga/s
111714,e)/peimi
46825,a)/gw
49031,ou)de/
68161,ou)do/s
154347,moira/zw
71787,moi=ra
252642,a)/gnwstos
113306,o)/rnis
87689,qrasu/s
188460,new/teros
102674,moira/w
177838,oi)stra/w
176045,e)ntima/w
75396,paro/w
52157,bi/os
47133,bio/s
191407,e)mpuro/w
135984,a)gkw/nh
219469,ei)si/zomai
134236,ei)/domai
99725,r(oqe/w
148384,a)sh/mwn
83926,qra/zw
105933,qhri/on
69639,pi/ptw
113542,phga/zw
72695,piqe/w
78884,ma/thn
347473,a)ei/frouros
166693,a)septe/w
133955,sta/lagma
208453,basilei/dhs
307762,paidokto/nos
320064,a(li/ktupos
154211,e)pauxe/w
107594,poleu/w
203325,su/gklhros
238348,u(peropli/a
285348,mello/numfos
304226,duska/qartos
212482,e)pentei/nw
279275,u(pertima/w
258363,o)cu/qhktos
163520,dou/leuma
347745,o)ressiba/ths
191755,o(mo/polis
245647,thle/poros
243949,decio/seiros
272812,a)ntamu/nomai
196736,pammh/twr
288598,eu)/lektros
179199,sumfile/w
129934,i)so/qeos
79916,sai/rw
176830,peripole/w
4460,h(=
60349,a)nti/
193389,e)/rxomai
98793,qra/sis
79828,oi)sto/s
83260,kla/zw
78363,a)/page
180197,paroike/w
112659,eu)/quna
89120,mai/nomai
245137,a)mfiba/llw
235199,a)nastato/w
77653,e(/los
72691,mate/w
156295,daimona/w
69486,pa=sis
94285,ai(re/w
76380,le/cis
48634,ma/th
61622,da/mar
141845,au)qa/deia
113550,foi/ths
195053,kataska/ptw
112153,h(/lios
203461,a)/peiros
38941,a)/ge
85355,qe/rmw
55443,a)mfi/
65958,a)nh/r
37780,timh/
108273,ptero/w
62197,mata/w
117548,mhni/zw
150619,o)rgi/zw
42090,e(/lh
83759,dh=los
158020,qespi/zw
128815,katanta/w
71801,qhra/w
120973,o)/rqios
88242,bla/bos
