lemma_id,lemma,full_eng,urn,line_number,normalized,eng_lemma,case_type,number,gender,voice,tense,mood,person,ppl_voice,ppl_tense,ppl_gender,ppl_case,prn_type,prn_case,prn_gender
49406,τάφος,tfos,urn:cts:greekLit:tlg0011.tlg002:21,21,ταφος,tafos,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
22491,ἐγώ,e)g,urn:cts:greekLit:tlg0011.tlg002:21,21,εγω,egw,None,None,None,None,None,None,None,None,None,None,None,personal,nominative,singular
13921,ὁ,o(,urn:cts:greekLit:tlg0011.tlg002:21,21,ο,o,None,None,None,None,None,None,None,None,None,None,None,None,None,None
119844,κασίγνητος,kasi/gnhtos,urn:cts:greekLit:tlg0011.tlg002:21,21,κασιγνητος,kasignhtos,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
57292,Κρέων,Kre/wn,urn:cts:greekLit:tlg0011.tlg002:21,21,Κρεων,Krewn,genitive,pl,masculine,None,None,None,None,active,present,masculine,nominative,None,None,None
13921,ὁ,o(,urn:cts:greekLit:tlg0011.tlg002:22,22,ο,o,None,None,None,None,None,None,None,None,None,None,None,None,None,None
36391,μέν,me/n,urn:cts:greekLit:tlg0011.tlg002:22,22,μεν,men,accusative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
78712,προτίω,proti/w,urn:cts:greekLit:tlg0011.tlg002:22,22,προτιω,protiw,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
13921,ὁ,o(,urn:cts:greekLit:tlg0011.tlg002:22,22,ο,o,None,None,None,None,None,None,None,None,None,None,None,None,None,None
22410,δέ,de/,urn:cts:greekLit:tlg0011.tlg002:22,22,δε,de,None,None,None,None,None,None,None,None,None,None,None,None,None,None
76497,ἀτιμάζω,a)timzw,urn:cts:greekLit:tlg0011.tlg002:22,22,ατιμαζω,atimazw,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
42652,ἔχω,e)/xw,urn:cts:greekLit:tlg0011.tlg002:22,22,εχω,exw,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
93295,Ἐτεοκλῆς,E)teoklh=s,urn:cts:greekLit:tlg0011.tlg002:23,23,Ετεοκλης,Eteoklhs,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
36391,μέν,me/n,urn:cts:greekLit:tlg0011.tlg002:23,23,μεν,men,accusative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
28986,ὡς,w(s,urn:cts:greekLit:tlg0011.tlg002:23,23,ως,ws,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
48844,λέγω,le/gw,urn:cts:greekLit:tlg0011.tlg002:23,23,λεγω,legw,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
41223,σύν,su/n,urn:cts:greekLit:tlg0011.tlg002:23,23,συν,sun,accusative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
45499,δίκη,di/kh,urn:cts:greekLit:tlg0011.tlg002:23,23,δικη,dikh,nominative,sg,feminine,active,pluperfect,indicative,1st,None,None,None,None,None,None,None
79408,χρῆσις,xrh=sis,urn:cts:greekLit:tlg0011.tlg002:24,24,χρησις,xrhsis,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
80663,δίκαιος,di/kaios,urn:cts:greekLit:tlg0011.tlg002:24,24,δικαιος,dikaios,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
34092,καί,kai/,urn:cts:greekLit:tlg0011.tlg002:24,24,και,kai,None,None,None,None,None,None,None,None,None,None,None,None,None,None
64057,νόμος,no/mos,urn:cts:greekLit:tlg0011.tlg002:24,24,νομος,nomos,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
34314,κατά,kat,urn:cts:greekLit:tlg0011.tlg002:24,24,κατα,kata,None,None,None,None,None,None,None,None,None,None,None,None,None,None
40950,χθών,xq)n,urn:cts:greekLit:tlg0011.tlg002:24,24,χθων,xq)wn,accusative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
80504,κρύπτω,kru/ptw,urn:cts:greekLit:tlg0011.tlg002:25,25,κρυπτω,kruptw,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
13921,ὁ,o(,urn:cts:greekLit:tlg0011.tlg002:25,25,ο,o,None,None,None,None,None,None,None,None,None,None,None,None,None,None
